key,fob,category_ids,keywords
supra,54000,26360,supra|スープラ|jza80
skyline,54000,26360,skyline|スカイライン|gt-r|gtr|bnr32|bcnr33|bnr34
lancer,54000,26360,lancer|ランエボ|エボ|ランサー
rx7,54000,26360,rx-7|rx7|fd3s|fc3s
silvia,54000,26360,silvia|シルビア|シルホア|s13|s14|s15
impreza,54000,26360,impreza|インプレッサ|gc8
desarme,65000,2084061280,desarme|desmanche|部品取り|丸車|書類無し

moto,10000,26316,moto|バイク|オートバイ|二輪|motorcycle
bicicleta,2000,26246,自転車|bicicleta
motor,2000,2084200282,エンジン本体|エンジン assy|エンジンassy|コンプリートエンジン|リビルトエンジン|ベアエンジン|ショートブロック|ロングブロック|実動エンジン|実働エンジン|motor completo
transmision,2000,2084008426,transmisión|transmision|transmissão|transmissao|トランスミッション|ミッション
carroceria,2000,"2084005255,2084200196",外装|フロントガラス|ガラス|ドア|バンパー|フェンダー|ボンネット|トランク|エアロ|スポイラー|ウイング|carroceria|paragolpe|puerta|capo|parabrisas
escape,2000,"2084005143,2084200216",マフラー|エキマニ|フロントパイプ|触媒|中間パイプ|リアピース|escape|escapamento|silenciador
llantas,2000,"2084200183,2084200188,2084200189,2084200190",
ll16,2000,,
ll17,2000,,
ll18,2000,,
aros,2000,"2084005140,2084008474,2084040548,2084040547",
ar16,2000,,
ar17,2000,,
ar18,2000,,
luces,2000,"2084008495,2084015633",ヘッドライト|テールランプ|テールライト|ウインカー|フォグランプ|ライト|レンズ|luces|faros|farol|lanterna
volante,2000,2084005142,ステアリング|ハンドル|momo|nardi|ナルディ|モモ|volante|steering
suspension,2000,2084005257,suspensión|suspension|suspensão|suspensao|サスペンション|サス|車高調|スプリング|ショック

asiento,2000,2084005258,asiento|assento|シート|レカロ|recaro|セミバケ|フルバケ
barras,2000,2084008461,barras|タワーバー|ロールバー|補強
freno,2000,2084005259,freno|freio|ブレーキ|ブレンボ|brembo|キャリパー|ローター
caraudio,2000,"23852,2084005294,2084048322,23864",audio|som|オーディオ|スピーカー|アンプ|ウーファー|サブウーファー|プレーヤー|player|reproductor|amplificador|subwoofer|altavoz|altavoces|alto-falantes
reproductor,2000,,
amplificador,2000,,
subwoofer,2000,,
altavoz,2000,,
nike_men_shoes,2000,,nike|ナイキ
nike_men_clothing,2000,,
nike_women_shoes,2000,,
nike_women_clothing,2000,,
adidas_men_shoes,2000,,adidas|アディダス
adidas_men_clothing,2000,,
adidas_women_shoes,2000,,
adidas_women_clothing,2000,,
nb_men_shoes,2000,,new balance|ニューバランス
nb_men_clothing,2000,,
nb_women_shoes,2000,,
nb_women_clothing,2000,,
ape,2000,,ape|エイプ
abercrombie,2000,,abercrombie
converse,2000,,converse|コンバース
diesel,2000,,diesel|ディーゼル
gap,2000,,gap|ギャップ
lacoste,2000,,lacoste|ラコステ
michaelkors,2000,,michael kors
puma,2000,,puma|プーマ
tommyhilfiger,2000,,tommy hilfiger
uniqlo,2000,,uniqlo|ユニクロ
vans,2000,,vans|バンズ
zara,2000,,zara|ザラ
casio,2000,,casio|カシオ
seiko,2000,,seiko|セイコー
citizen,2000,,citizen|シチズン
spikes,2000,,
training,2000,,
futsal,2000,,
running_men_shoes,2000,,
running_men_clothing,2000,,
running_women_shoes,2000,,
running_women_clothing,2000,,
camping,2000,,camping
pesca,2000,,pesca|釣り|フィッシング
rc_engine,2000,,
rc_electric,2000,,
gundam,2000,,gundam|ガンダム|ガンプラ
onepiece,2000,,one piece|ワンピース
miku,2000,,miku|初音ミク
madoka,2000,,madoka|まどか
dragonball,2000,,dragon ball|ドラゴンボール
nendoroid,2000,,nendoroid|ねんどろいど
iphone,2000,,iphone
ipad,2000,,ipad
smartwatch,2000,,smartwatch|スマートウォッチ
cpu,2000,,cpu
memory,2000,,memory|メモリ|ram
gpu,2000,,gpu|グラフィックボード|グラボ
dslr,2000,,dslr|一眼レフ
mirrorless,2000,,mirrorless|ミラーレス
compact_digital,2000,,
lens,2000,,lens|レンズ
guitarra,2000,,guitarra|ギター
bajo,2000,,bajo|ベース
viento,2000,,
dj,2000,,dj
washlet,2000,,washlet|ウォシュレット
