key,asu,enc,pjc
default,0,0,0
motor,150,180,200
llantas,100,120,150
ll16,100,120,150
ll17,100,120,150
ll18,100,120,150
aros,80,100,120
ar16,80,100,120
ar17,80,100,120
ar18,80,100,120
suspension,50,60,70
asiento,100,120,140
barras,30,40,50
freno,40,50,60
caraudio,30,45,60
reproductor,30,45,60
amplificador,30,45,60
subwoofer,30,45,60
altavoz,30,45,60
supra,500,600,700
skyline,500,600,700
lancer,500,600,700
rx7,500,600,700
silvia,500,600,700
impreza,500,600,700
desarme,400,450,500
moto,100,120,150
bicicleta,0,0,0
nike_men_shoes,0,0,0
nike_men_clothing,0,0,0
nike_women_shoes,0,0,0
nike_women_clothing,0,0,0
adidas_men_shoes,0,0,0
adidas_men_clothing,0,0,0
adidas_women_shoes,0,0,0
adidas_women_clothing,0,0,0
nb_men_shoes,0,0,0
nb_men_clothing,0,0,0
nb_women_shoes,0,0,0
nb_women_clothing,0,0,0
ape,0,0,0
abercrombie,0,0,0
converse,0,0,0
diesel,0,0,0
gap,0,0,0
lacoste,0,0,0
michaelkors,0,0,0
puma,0,0,0
tommyhilfiger,0,0,0
uniqlo,0,0,0
vans,0,0,0
zara,0,0,0
casio,0,0,0
seiko,0,0,0
citizen,0,0,0
spikes,0,0,0
training,0,0,0
futsal,0,0,0
running_men_shoes,0,0,0
running_men_clothing,0,0,0
running_women_shoes,0,0,0
running_women_clothing,0,0,0
camping,0,0,0
pesca,0,0,0
rc_engine,0,0,0
rc_electric,0,0,0
gundam,0,0,0
onepiece,0,0,0
miku,0,0,0
madoka,0,0,0
dragonball,0,0,0
nendoroid,0,0,0
iphone,0,0,0
ipad,0,0,0
smartwatch,0,0,0
cpu,0,0,0
memory,0,0,0
gpu,0,0,0
dslr,0,0,0
mirrorless,0,0,0
compact_digital,0,0,0
lens,0,0,0
guitarra,0,0,0
bajo,0,0,0
viento,0,0,0
dj,0,0,0
washlet,0,0,0
