key,shipping,category_ids,keywords
motor,10000,2084200282,motor|エンジン
transmision,8000,2084008426,transmisión|transmision|transmissão|transmissao|トランスミッション|ミッション
llantas,8000,"2084226162,2084200183,2084200188,2084200189,2084200190",
ll16,8000,,
ll17,11000,,
ll18,15000,,
aros,6000,"2084005140,2084008474,2084040548,2084040547",
ar16,6000,,
ar17,8000,,
ar18,10000,,
suspension,2000,2084005257,suspensión|suspension|suspensão|suspensao|サスペンション|サス|車高調|スプリング|ショック
asiento,9000,2084005258,asiento|assento|シート|レカロ|recaro|セミバケ|フルバケ
barras,3000,2084008461,barras|タワーバー|ロールバー|補強
freno,4000,2084005259,freno|freio|ブレーキ|ブレンボ|brembo|キャリパー|ローター
caraudio,3000,"23852,2084005294,2084048322,23864",audio|som|オーディオ|スピーカー|アンプ|ウーファー|サブウーファー|プレーヤー|player|reproductor|amplificador|subwoofer|altavoz|altavoces|alto-falantes
